2026-05-10 20:01:26 | INFO     | root                 | logging_config.py:110  | setup_logging        | Timed file handler: /Users/vitalijloznicenko/Documents/3 курс/методы программирования/courses_catalog/logs/app_daily.log
2026-05-10 20:01:26 | INFO     | root                 | logging_config.py:111  | setup_logging        | Error file handler: /Users/vitalijloznicenko/Documents/3 курс/методы программирования/courses_catalog/logs/errors.log
2026-05-10 20:01:26 | INFO     | root                 | logging_config.py:112  | setup_logging        | Warning file handler: /Users/vitalijloznicenko/Documents/3 курс/методы программирования/courses_catalog/logs/warnings.log
2026-05-10 20:01:26 | INFO     | root                 | logging_config.py:113  | setup_logging        | ============================================================
2026-05-10 20:01:26 | INFO     | django.utils.autoreload | autoreload.py:681  | run_with_reloader    | Watching for file changes with StatReloader
2026-05-10 20:02:14 | INFO     | users.views          | views.py:100  | form_valid           | User 'wiacl' updated their profile
2026-05-10 20:02:14 | WARNING  | django.request       | log.py:249  | log_message          | Not Found: /media/avatars/Unknown.jpg
2026-05-10 20:02:25 | INFO     | users.views          | views.py:100  | form_valid           | User 'wiacl' updated their profile
2026-05-10 20:02:25 | WARNING  | django.request       | log.py:249  | log_message          | Not Found: /media/avatars/c4b4d796d72253ce57966e3cb926f67b.jpg
2026-05-10 20:02:30 | WARNING  | django.request       | log.py:249  | log_message          | Not Found: /media/avatars/c4b4d796d72253ce57966e3cb926f67b.jpg
2026-05-10 20:03:24 | INFO     | django.utils.autoreload | autoreload.py:265  | trigger_reload       | /Users/vitalijloznicenko/Documents/3 курс/методы программирования/courses_catalog/courses_catalog/urls.py changed, reloading.
2026-05-10 20:03:24 | INFO     | root                 | logging_config.py:105  | setup_logging        | ============================================================
2026-05-10 20:03:24 | INFO     | root                 | logging_config.py:106  | setup_logging        | Logging system initialized
2026-05-10 20:03:24 | INFO     | root                 | logging_config.py:107  | setup_logging        | Log directory: /Users/vitalijloznicenko/Documents/3 курс/методы программирования/courses_catalog/logs
2026-05-10 20:03:24 | INFO     | root                 | logging_config.py:108  | setup_logging        | Console handler: Enabled
2026-05-10 20:03:24 | INFO     | root                 | logging_config.py:109  | setup_logging        | Rotating file handler: /Users/vitalijloznicenko/Documents/3 курс/методы программирования/courses_catalog/logs/app_rotating.log
2026-05-10 20:03:24 | INFO     | root                 | logging_config.py:110  | setup_logging        | Timed file handler: /Users/vitalijloznicenko/Documents/3 курс/методы программирования/courses_catalog/logs/app_daily.log
2026-05-10 20:03:24 | INFO     | root                 | logging_config.py:111  | setup_logging        | Error file handler: /Users/vitalijloznicenko/Documents/3 курс/методы программирования/courses_catalog/logs/errors.log
2026-05-10 20:03:24 | INFO     | root                 | logging_config.py:112  | setup_logging        | Warning file handler: /Users/vitalijloznicenko/Documents/3 курс/методы программирования/courses_catalog/logs/warnings.log
2026-05-10 20:03:24 | INFO     | root                 | logging_config.py:113  | setup_logging        | ============================================================
2026-05-10 20:03:24 | INFO     | django.utils.autoreload | autoreload.py:681  | run_with_reloader    | Watching for file changes with StatReloader
2026-05-10 23:03:40 | INFO     | root                 | logging_config.py:105  | setup_logging        | ============================================================
2026-05-10 23:03:40 | INFO     | root                 | logging_config.py:106  | setup_logging        | Logging system initialized
2026-05-10 23:03:40 | INFO     | root                 | logging_config.py:107  | setup_logging        | Log directory: /Users/vitalijloznicenko/Documents/3 курс/методы программирования/courses_catalog/logs
2026-05-10 23:03:40 | INFO     | root                 | logging_config.py:108  | setup_logging        | Console handler: Enabled
